csv_schema_version,episode_id,media_id,season_number,episode_number,title,air_date,watched_at,runtime_minutes,overview,still_image_hash,community_rating
5,e9150000-0000-4000-8000-000000000001,7b2f0000-0000-4000-8000-000000000001,1,1,,,2026-05-11T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000002,7b2f0000-0000-4000-8000-000000000001,1,2,,,2026-05-12T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000003,7b2f0000-0000-4000-8000-000000000001,1,3,,,2026-05-13T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000004,7b2f0000-0000-4000-8000-000000000001,1,4,,,2026-05-14T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000005,7b2f0000-0000-4000-8000-000000000001,1,5,,,2026-05-15T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000006,7b2f0000-0000-4000-8000-000000000001,1,6,,,2026-05-16T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000007,7b2f0000-0000-4000-8000-000000000001,1,7,,,2026-05-17T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000008,7b2f0000-0000-4000-8000-000000000001,1,8,,,2026-05-18T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000009,7b2f0000-0000-4000-8000-000000000001,1,9,,,2026-05-19T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000010,7b2f0000-0000-4000-8000-000000000001,2,1,,,2026-06-01T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000011,7b2f0000-0000-4000-8000-000000000001,2,2,,,2026-06-02T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000012,7b2f0000-0000-4000-8000-000000000001,2,3,,,2026-06-03T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000013,7b2f0000-0000-4000-8000-000000000001,2,4,,,2026-06-04T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000014,7b2f0000-0000-4000-8000-000000000001,2,5,,,2026-06-05T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000015,7b2f0000-0000-4000-8000-000000000001,2,6,,,2026-06-06T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000016,7b2f0000-0000-4000-8000-000000000001,2,7,,,2026-06-07T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000017,7b2f0000-0000-4000-8000-000000000001,2,8,,,2026-06-08T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000018,7b2f0000-0000-4000-8000-000000000001,2,9,,,2026-06-09T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000019,7b2f0000-0000-4000-8000-000000000001,2,10,,,2026-06-10T20:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000020,7b2f0000-0000-4000-8000-000000000001,0,1,,,,,,,
5,e9150000-0000-4000-8000-000000000021,7b2f0000-0000-4000-8000-000000000002,1,1,1:23:45,2019-05-06T00:00:00Z,2026-05-21T21:00:00Z,61,"April 26, 1986, Ukrainian SSR. Plant workers and firefighters put their lives on the line to control a catastrophic 1986 explosion at a Soviet nuclear power plant.",,8.862
5,e9150000-0000-4000-8000-000000000022,7b2f0000-0000-4000-8000-000000000002,1,2,Please Remain Calm,2019-05-13T00:00:00Z,2026-05-22T21:00:00Z,66,"With untold millions at risk after the Chernobyl explosion, nuclear physicist Ulana Khomyuk makes a desperate attempt to reach Valery Legasov, a leading Soviet nuclear physicist, and warn him about the threat of second explosion that could devastate the continent.",,9.175
5,e9150000-0000-4000-8000-000000000023,7b2f0000-0000-4000-8000-000000000002,1,3,"Open Wide, O Earth",2019-05-20T00:00:00Z,2026-05-23T21:00:00Z,64,"Lyudmilla Ignatenko, a Pripyat resident, ignores warning about her firefighter husband's contamination. Valery Legasov lays out a decontamination plan, complete with human risks.",,8.955
5,e9150000-0000-4000-8000-000000000024,7b2f0000-0000-4000-8000-000000000002,1,4,The Happiness of All Mankind,2019-05-27T00:00:00Z,2026-05-24T21:00:00Z,67,"Valery Legasov and Soviet Deputy Prime Minister Boris Shcherbina consider using lunar rovers to remove radioactive debris, while Ulana Khomyuk faces government hurdles in determining the truth about the cause of the explosion.",,8.808
5,e9150000-0000-4000-8000-000000000025,7b2f0000-0000-4000-8000-000000000002,1,5,Vichnaya Pamyat,2019-06-03T00:00:00Z,2026-05-25T21:00:00Z,73,"Valery Legasov, Boris Shcherbina and Ulana Khomyuk risk their lives and reputations to expose the truth about Chernobyl.",,9.325
5,e9150000-0000-4000-8000-000000000026,7b2f0000-0000-4000-8000-000000000004,1,1,,,2026-06-21T21:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000027,7b2f0000-0000-4000-8000-000000000004,1,2,,,2026-06-22T21:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000028,7b2f0000-0000-4000-8000-000000000004,1,3,,,2026-06-23T21:00:00Z,,,,
5,e9150000-0000-4000-8000-000000000029,7b2f0000-0000-4000-8000-000000000004,1,4,,,,,,,
5,e9150000-0000-4000-8000-000000000030,7b2f0000-0000-4000-8000-000000000004,1,5,,,,,,,
5,e9150000-0000-4000-8000-000000000031,7b2f0000-0000-4000-8000-000000000004,1,6,,,,,,,
